65	Mo-Fr 8:00-18:00; Sa-Su 7:00-18:00
65	7:00-17:00
64	6:00-20:00
63	6:00-23:00
62	Mo-Su 9:00-23:00
62	Mo-Su 7:00-21:00
62	Mo-Fr 8:00-18:30; Sa-Su 8:00-18:00
60	Mo-Fr 8:00-18:30; Sa-Su 8:30-18:30
60	9:00
59	Apr 1-Oct 31 00:00-24:00
58	Mo-Fr 7:30-18:00; Sa-Su 7:30-18:00
58	5:30-22:00
57	Mo-Fr 7:00-18:30; Sa-Su 7:30-18:30
57	may 18-oct 06
57	9:00-17:00; Mo closed
56	Mo-Su 9:00-17:00
56	Mo-Su 7:00-20:00
56	9:00-24:00
55	Mo-Fr 7:00-15:00
55	6:00-21:00
54	Mo-Fr 7:00-20:00; Sa-Su 7:00-19:00
53	Mo-Su 7:00-19:00
53	Mo-Sa 7:00-22:00
53	Mo-Fr 8:00-18:00;Sa-Su 8:00-18:00
53	Mo-Fr 7:30-18:30; Sa-Su 8:30-18:30
52	mo-su 10:00-22:00
52	Mo-Fr 9:00-19:00
52	Mo-Fr 8:00-20:00; Sa-Su 8:00-19:00
52	9:00-22:05
51	Mo-Fr 9:30; Sa 8:00; Su off
51	8:00
50	Mo-Fr 06:00-17:00; Sa,Su,PH OFF
49	Mo-Th 08:20-13:00, 14:30-16:15; Fr 8:20-13:00
49	Mo-Sa 8:00-17:00
49	Mo-Sa 7:00-21:00
49	Mo-Fr 9:30-18:30; Sa-Su 9:30-18:30
49	Mo-Fr 7:00-16:00
49	Mo-Fr 6:30-16:30
49	8:00-24:00
48	Mo-Th 10:00-8:00; Fr-Su 10:00-9:00
48	Mo-Fr 7:30-19:00; Sa-Su 7:30-19:00
48	0:00-24:00
47	Mo-Sa 8:00-18:00
47	Mo-Fr 7:00-19:00; Sa-Su 7:00-20:00
47	9:00 - 21:00
47	7:30-22:00
47	7:00-18:00
46	Su 9:45
46	Su 9:00
46	Mo-Fr 9:00-18:00; Sa-Su 8:00-18:00
46	Mo-Fr 9:00-18:00; Sa 9:00-14:00
46	Mo-Fr 8:00-19:00; Sa-Su 10:00-19:00
46	Mo-Fr 7:30-20:00; Sa-Su 7:30-20:00
46	Fr 9:00-16:45;Mo-Th 09:00-18:00
46	7:00-24:00
46	19
45	Mo-Fr 8:00-20:00
45	6:00-19:00
44	Mo-Sa 9:00-17:00
44	Mo-Fr 9:00-18:30; Sa-Su 9:00-18:30
44	Mo-Fr 9:00-18:00; Sa 9:00-13:00
44	Mo-Fr 8:30-16:30
44	Mo-Fr 8:00-16:30
44	12
43	sa-we 08:00-15:00; th 8:00-13:30; fr off
42	Sunday
42	Mo-Su 7:30-22:00
42	Mo-Sa 9:30-19:00
42	Mo-Fr 7:00-20:30; Sa-Su 7:00-20:30
41	Mo-Fr 8:00-18:00; Sa 8:00-14:00
41	9:00 - 18:00
40	Mo-Fr 7:00-19:00; Sa-Su 8:00-18:00
40	Mo-Fr 7:00-18:00; Sa-Su 10:00-15:00
40	8:30-22:00
40	8:30-17:30
40	6:00-18:00
39	Mo-Sa 6:00-22:00
39	Mo-Fr 9:00-20:00
39	Mo-Fr 8:30-19:00; Sa-Su 8:30-19:00
39	Mo-Fr 8:00-20:00; Sa-Su 8:00-18:00
39	mo-fr 09:00-17:00
39	Mar-Sep: Mo-Sa 09:00-20:00; Oct-Feb: Mo-Sa: 09:00-19:00; Su off
39	Apr 1 - Oct 31
39	9:30-19:00
39	9:00 - 17:00
39	8:30
38	mo-su 10:00-21:00
38	Mo-Sa 09:00-17:00; Su Off
38	Mo-Sa 06:00-24:00; Su,Ph 06:00-22:00; Dec 24,31 06:00-17:00
38	Mo-Fr 7:00-19:00; Sa-Su 8:00-20:00
38	Mo-Fr 7:00-18:00
38	8:30-18:00
37	Thursday
37	Mo-Fr 9:00-18:00; Sa 9:00-15:00
37	9:30
36	Mo-Th 09:00-19:00; Fr 09:00-21:00; Sa 08:00-17:00; PH off; Oct 31 9:00-19:00; Nov 1 off; Dec 15,22 10:00-17:00; Dec 24 7:30-16:00; Dec 25,26 off; Dec 31 8:00-17:00; Jan 2 9:00-19:00
36	Mo-Su 8:00-17:00
36	Mo-Fr 8:00-19:00; Sa-Su 9:00-18:00
36	Mo-Fr 7:00-18:00; Sa-Su 6:00-18:00
36	9:30-20:00
35	Mo-Sa 9:00-21:00
35	Mo-Fr 8:30-18:00; Sa-Su 8:30-18:00
35	Mo-Fr 8:00-20:00; Sa-Su 9:00-20:00
35	Mo-Fr 8:00-18:00; Sa-Su 8:00-17:00
35	Mo-Fr 7:30-18:30; Sa-Su 10:30-15:30
35	Mo-Fr 7:00-18:00; Sa-Su 10:00-18:00
35	Mo-Fr 09:00-20:00; Sa 09:00-18:00; Dec 1-24 Su 14:00-19:00; Dec 7-24 Sa 09:00-20:00; Dec 12-22 Mo-Fr 09:00-21:00; Dec 24 13:00+ off; Dec 25-26 off; Dec 27-30 18:00+ off; Dec 31 16:00+ off; Jan 1 off
35	9:00-21:30
35	8:00-15:00
34	Mo-Su 7:00-18:00
34	Mo-Su 09:00-1:00
34	Mo-Sa 9:30
34	Mo-Fr 9:00-17:00; Sa-Su 9:00-17:00
34	Mo-Fr 8:00-20:00; Sa-Su 8:00-21:00
34	Mo-Fr 8:00-20:00; Sa-Su 7:00-20:00
34	Mo-Fr 8:00-19:00
34	Mo-Fr 8:00-18:00; Sa-Su 8:00-18:30
34	Mo-Fr 7:30-19:30; Sa-Su 7:30-18:30
34	Mo-Fr 7:30-18:30; Sa-Su 7:30-19:30
34	Mo-Fr 6:00-21:00; Sa-Su 6:00-21:00
34	9:30-22:00
33	Mo-Su 6:00-24:00
33	Mo-Fr 8:00-18:00; Sa 8:00-13:00
33	Mo-Fr 7:00-19:30; Sa-Su 7:30-19:30
33	Mo-Fr 6:30-19:30; Sa-Su 6:30-19:30
33	Mo-Fr 07:00-22:00; Sa 8:00-20:00
33	mo-fr 00:00-24:00;sa-su off
32	Nov-Jan 07:45-18:00; Feb 07:45-18:30; Mar 1-15 07:45-19:00; Mar 16-31 07:45-19:30;Apr 07:45-20:00;May 07:45-20:30;Jun-Aug 07:45-21:00;Sep 1-15 07:45-20:30; Sep 16-30 07:45-19:30;Oct 1-15 07:45-19:00;Oct 16-31 07:45-18:30
32	Mo-Su 4:00-22:00
32	Mo-Sa 9:30-20:30
32	Mo-Sa 06:00-24:00; Su,Ph 06:00-22:00
32	Mo-Fr 9:00-19:30; Sa-Su 9:00-19:30
32	Mo-Fr 9:00-13:00,14:00-18:00
32	Mo-Fr 7:30-17:00
32	Mo-Fr 7:30-16:00
32	Mo-Fr 7:00-19:00
32	Mo-Fr 7:00-18:30; Sa-Su 7:00-18:00
32	Mo-Fr 7:00-18:00; Sa-Su 9:00-18:00
32	Mo-fr 09:00-17:00
32	Mo-Fr 07:00-16:00; PH Off
32	Jul 01-Feb 29, sunrise-sunset open
32	9:00-17:30
32	9:00 - 19:00
32	5:00-23:00
31	Tu-Su 9:00-17:00
31	Mo-Th 8:00-16:45; Fr 8:00-15:30; Sa-Su off
31	Mo-Sa 8:00-19:00
31	Mo-Fr 9:00-17:30
31	Mo-Fr 7:30-18:00
31	Mo-Fr 6:30-17:30
31	Apr 1 - Sep 30
31	9:00-19:30
30	Mo-Sa 8:00-21:00
30	Mo-Fr 9:00; Sa 9:00; Su off
30	Mo-Fr 9:00-18:00; Sa-Su 10:00-18:00
30	Mo-Fr 9:00-15:00
30	Mo-Fr 8:00-20:30; Sa-Su 8:00-20:30
30	Mo-Fr 8:00-15:00
30	Mo-Fr 08:30-16:00; Jan 1,Apr 19,May 1,Jun 24,Jul 5,Jul 24,Oct 12,Dec 24,Dec 25,Dec 31 off
30	Apr 1-Oct 31
30	6:00 - 22:00
29	Mo-Su 0:00-24:00
29	Mo-Fr 8:00-18:00; Sa-Su 8:00-20:00
29	Mo-Fr 6:00-17:00
29	8:30-20:00
29	8:00 - 20:00
29	7:00 - 22:00
29	6:00-24:00
29	19:00-6:00
28	Mo-Su 8:30-01:00
28	mo-sa 09:00-22:00
28	Mo-Fr 8:00-19:30; Sa-Su 8:00-19:00
28	8:00 - 18:00
27	Mo-Su 7:30-22:30
27	Mo-Sa 9:00-20:00; Su 11:00-17:00
27	Mo-Sa 8:30-20:00
27	Mo-Fr 9:00-19:00; Sa-Su 9:00-18:00
27	Mo-Fr 9:00-18:00; Sa-Su 9:00-19:00
27	Mo-Fr 9:00-18:00; Sa 9:00-16:00
27	Mo-Fr 8:00-20:00; Sa-Su 10:00-20:00
27	Mo-Fr 7:00-18:00; Sa-Su 8:00-19:00
27	Mo-Fr 7:00-18:00; Sa-Su 7:00-18:30
27	Mo-Fr 6:00-18:00; Sa-Su 8:00-18:00
27	8 A.M
26	sa-we 08:00-21:00; th 8:00-14:30; fr off
26	oct 07-nov 03;mar 08-mar 31
26	Mo-Su 8:00 - 18:00
26	Mo-Sa 9:30-19:30
26	Mo-Sa 9:00-22:00
26	Mo-Fr 9:30; Sa off; Su off
26	Mo-Fr 9:00-19:00; Sa-Su 10:00-19:00
26	Mo-Fr 8:30-18:30; Sa-Su 7:30-18:30
26	Mo-Fr 8:00-12:00; Sa-Su 8:00-12:00
26	Mo-Fr 7:30-19:00; Sa-Su 7:00-19:00
26	Mo-Fr 7:00-22:00; Sa-Su 7:00-22:00
26	Mo-Fr 7:00-19:00; Sa-Su 9:00-19:00
26	9:00-16:30
26	8:00-17:30
26	8:00 - 22:00
26	7:30-23:00
26	6:00-22:30
26	5:30 - 22:00
26	10:00-1:00
25	Mo-Fr 9:00-17:00; Sa 9:00-14:00
25	Mo-Fr 8:30-18:30; Sa-Su 9:30-18:30
25	Mo-Fr 8:00-19:30; Sa-Su 8:30-19:30
25	Mo-Fr 7:00-20:00
25	Mo-Fr 7:00-18:30; Sa-Su 8:00-18:30
25	Mo-Fr 6:00-19:00; Sa-Su 7:00-19:00
25	Mo-Fr 6:00-18:30; Sa-Su 6:00-18:30
25	5:00-21:00
24	mo-sa 00:00-24:00;su off
24	Mo-Fr 9:00-18:00;Sa 10:00-14:00
24	Mo-Fr 8:30-18:30; Sa-Su 10:30-18:30
24	Mo-Fr 8:30-18:00
24	Mo-Fr 8:00-18:00; Sa-Su 9:00-17:00
24	Mo-Fr 8:00-18:00; Sa-Su 0:00-0:00
24	Mo-Fr 8:00-16:00; Sa-Su 8:00-16:00
24	Mo-Fr 7:00-20:00; Sa-Su 8:00-19:00
24	Mo-Fr 10:00-18:00; Sa-Su 8:00-18:00
24	Mo-Fr 09:00-17:00; Sa-Su Closed
24	Mo-Fr 08:00-13:00,14:00-20:00; Sa 09:00-13:00,14:00-18:00; Su Off
24	9:30-17:00
24	9:00-18:30
24	7:30-20:00
24	5:00-20:00
23	Mo-Sa 8:00-22:00
23	Mo-Fr 9:00-20:00; Sa-Su 8:00-20:00
23	Mo-Fr 9:00-19:00; Sa 9:00-16:00
23	Mo-Fr 8:30-15:00
23	Mo-Fr 8:00-21:00; Sa-Su 8:00-20:00
23	Mo-Fr 8:00-17:00; Sa 8:00-13:00
23	Mo-Fr 8:00-14:00
23	Mo-Fr 7:30-16:30
23	Mo-Fr 7:00-21:00; Sa-Su 8:00-21:00
23	Mo-Fr 6:00-19:00; Sa-Su 6:00-18:00
23	Jun 16-Mar 14, sunrise-sunset
23	9:30-21:30
23	8:00 - 16:00
23	6:30-22:00
23	6:00
23	24H
23	19:00-7:00
22	Tu-Sa 9:00-19:00
22	Tu-Sa 9:00-18:00
22	mo-su 08:00-22:00
22	Mo-Su 07:00-0:00
22	Mo-Sa 8:30-19:30
22	Mo-Sa 7:00-19:00
22	Mo-Fr 9:00-18:00; Sa 10:00-14:00
22	Mo-Fr 8:30-20:00; Sa-Su 8:30-20:00
22	Mo-Fr 8:00-19:00; Sa-Su 7:00-18:00
22	Mo-Fr 8:00-18:00; Sa-Su 9:00-19:00
22	Mo-Fr 8:00-17:00; Sa 8:00-12:00
